0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
41864,42360,42379,42058,43036,43089,44094,43798,44196,44381,44795,44284,43744,43309,43250,43344,43538,42917,43584,42815,42585,41601,41636,42156,42792,44060,45663,47711,49732,52088,53525,49346,49356,47673,47002,47753,49269,50825,51917,51864,51994,50590,50019,49422,46804,46852,46317,44852,44541,43620,43960,42911,41956,42101,42793,36905,35434,33987,30896,29987,29699,28221,27866,27230,26633,26275,24303,23415,23328,23482,24796,23428,23791,23409,22543,22494,21799,20290,19530,19049,18339,15442,13384,12663,11956,10620,9922,8424,7044,6093,5131,4075,3217,2529,1921,1453,1084,743,565,408,590
41250,41902,42472,42405,42195,43004,43114,44067,43845,44153,44371,44787,44303,43765,43359,43396,43602,43925,43320,43861,43419,43132,42190,42373,42863,43670,44747,46271,48269,50307,52537,53576,49663,49548,47870,47221,47977,49221,50964,52098,51894,52038,50626,49907,49273,46890,46832,46221,44725,44466,43352,43607,42682,41622,41786,42622,36634,35236,33811,30789,29915,29410,28032,27608,26893,26360,25858,24049,23119,23032,23114,24279,23171,23263,22811,21989,21773,21081,19632,18829,18205,17326,14702,12584,11741,10989,9723,8990,7552,6190,5307,4362,3435,2671,2019,1478,1115,824,545,407,615
41612,41182,41836,42508,42326,42400,42972,43033,44006,43836,44150,44297,44692,44304,43638,43334,43472,43803,44273,43579,44459,44046,43660,42938,43435,43633,44526,45486,46892,48717,50995,52865,53602,49748,49571,47867,47257,47812,49080,50969,52097,51737,51897,50475,49573,49074,46858,46682,46000,44582,44350,43023,43179,42297,41171,41456,42343,36317,35009,33560,30571,29753,29001,27798,27253,26574,26086,25449,23750,22797,22680,22693,23678,22778,22685,22187,21392,21073,20399,18932,18070,17311,16255,13851,11721,10814,9996,8816,7998,6655,5378,4522,3604,2804,2116,1549,1122,834,579,382,609
41301,41492,41137,41834,42519,42293,42440,42934,43021,44066,43896,44137,44219,44578,44242,43577,43296,43611,44010,44288,44062,45025,44531,44505,43677,44157,44272,45013,45689,47278,48996,51211,52853,53362,49673,49282,47598,47205,47651,48829,50755,51952,51594,51637,50320,49246,48764,46807,46449,45686,44275,44069,42721,42644,41939,40635,41001,42046,35970,34733,33361,30392,29578,28687,27524,26905,26211,25762,24998,23430,22480,22262,22257,23059,22369,22040,21504,20672,20245,19636,18188,17240,16372,15147,12979,10795,9819,8989,7856,7072,5760,4575,3753,2922,2242,1639,1181,826,587,403,618
41777,41457,41464,41235,42015,42737,42431,42529,42903,43033,44127,43913,44190,44227,44549,44211,43604,43400,43635,44026,44748,44680,45673,45356,45305,44392,44924,44905,45734,46210,47677,49285,51353,52964,53319,49735,49161,47497,47173,47563,48666,50780,51881,51567,51453,50232,48906,48561,46850,46196,45447,44093,43892,42426,42151,41613,40170,40678,41795,35782,34553,33148,30191,29455,28380,27328,26612,25900,25431,24533,23163,22124,21920,21818,22418,21956,21451,20844,19978,19416,18831,17417,16364,15387,14075,12159,9887,8871,8013,6951,6157,4941,3856,3081,2330,1740,1246,896,596,407,632
43722,41806,41518,41516,41372,42104,42954,42469,42661,42958,43115,44205,43988,44267,44187,44596,44303,43794,43384,43809,44569,45561,45767,46932,46591,46339,45523,45812,45542,46262,46692,48045,49499,51336,52816,53227,49837,49137,47405,47163,47462,48596,50805,51810,51509,51128,50116,48541,48267,46817,45988,45181,43909,43748,42138,41637,41223,39654,40302,41590,35456,34276,33025,30029,29293,28050,27073,26263,25510,25081,24056,22820,21685,21492,21296,21711,21480,20780,20084,19257,18554,17955,16571,15436,14383,12896,11215,8933,7889,7019,6072,5249,4152,3176,2491,1825,1308,917,629,408,656
45916,43770,42032,41665,41789,41644,42326,43091,42596,42805,43129,43200,44267,44017,44098,44063,44783,44915,44475,44068,44560,45286,46523,47408,48413,47829,47551,46619,46761,46384,46929,47224,48343,49722,51541,53056,53539,50084,49454,47580,47328,47503,48675,50751,51730,51435,51179,50020,48551,48263,46770,45905,45114,43760,43586,41968,41403,40974,39505,40118,41373,35399,34309,32990,29956,29194,27918,26910,26065,25266,24732,23868,22642,21470,21146,20954,21311,20979,20295,19570,18588,17852,17150,15781,14578,13468,11941,10256,8021,7028,6175,5222,4443,3432,2570,1972,1431,977,651,433,709
46732,45573,44015,42460,41991,42160,41846,42550,43158,42713,42956,43255,43258,44345,44033,44024,44124,45437,45926,45794,45486,45909,46759,48550,49168,50077,49362,48933,47924,47833,47402,47763,47872,48763,50132,51844,53443,53975,50389,49870,47955,47497,47638,48752,50762,51740,51386,51217,49933,48573,48331,46816,45819,45057,43633,43435,41808,41175,40743,39374,39887,41228,35309,34283,32904,29864,29079,27766,26714,25822,24920,24341,23593,22390,21139,20847,20521,20840,20449,19691,18986,17883,17082,16321,14968,13681,12493,10968,9177,7079,6176,5308,4384,3637,2760,1985,1502,1054,683,448,754
47439,46474,45458,44424,42947,42342,42457,42071,42773,43329,42827,43041,43433,43401,44380,44163,44116,44331,46176,47405,47299,46888,47692,49205,50536,50850,51513,50853,50446,49073,48728,48193,48432,48355,49163,50579,52127,53838,54276,50758,50166,48201,47678,47683,48744,50700,51707,51284,51256,49814,48576,48356,46826,45751,45004,43567,43258,41619,41003,40506,39211,39643,41002,35201,34141,32774,29709,28918,27604,26513,25557,24590,23930,23301,22072,20805,20474,20145,20326,19915,19049,18288,17161,16233,15402,14030,12693,11440,9935,8141,6149,5259,4457,3578,2913,2172,1513,1118,763,450,754
47634,46845,46277,45375,44834,43410,42690,42716,42339,42929,43446,43047,43162,43609,43498,44503,44365,44396,44872,47159,48360,48178,48099,49430,50333,51320,51529,52290,51576,51164,49753,49313,48696,48723,48641,49433,50840,52360,54092,54577,50938,50488,48413,47791,47682,48809,50661,51713,51267,51321,49760,48611,48385,46845,45765,45040,43516,43137,41570,40814,40283,39096,39470,40891,35117,33986,32632,29631,28762,27414,26258,25309,24263,23539,22981,21762,20449,20055,19655,19848,19285,18398,17600,16355,15345,14486,13117,11710,10428,8891,7148,5301,4488,3729,2893,2312,1683,1146,803,536,791
